publishedAt,authorDisplayName,textDisplay,sentiment,paslon
2024-10-22T17:27:38Z,@witooke8653,pemikiranku beda aq senang calon yg diusung partai koalisi daerah dikelola dikuasai at parpol,netral,0
2024-10-22T16:42:06Z,@SanPak-r9b,bu,netral,0
2024-10-22T16:41:13Z,@SanPak-r9b,aq gk pilih no karna baalawi merajalela,netral,0
2024-10-22T15:46:35Z,@martuahutagaol1102,bu risma,netral,2
2024-10-22T15:34:19Z,@LiaLeo-f7w,ketar ketir kalo kalah yg pakai rompi orange dana hibah bekas buk risma bersih trasparan kalo yg awok awok kpk gledah kantor gub jatim apanya,netral,2
2024-10-22T11:06:03Z,@Momos-r5q,mantap bu risma pilihan ku,netral,2
2024-10-22T07:48:37Z,@abdulhamid1238,gas bu khofifah,netral,1
2024-10-22T03:50:08Z,@ctr716,bu risma the best,netral,2
2024-10-21T23:21:06Z,@partinipartini7131,risma tetep paĺèñg unggul tiďak terbanďìngi,netral,2
2024-10-21T18:10:56Z,@sanjanic,bu risma surabaya br khofifah gaada perubahan skip skip ga merakyat rugi pilih kofifa,netral,1
2024-10-21T17:37:19Z,@سيتيااا,risma good,netral,2
2024-10-21T17:34:30Z,@ardityafirman8480,bu risma,netral,2
2024-10-21T17:26:31Z,@RohmatjatiGumelar,bu risma perubahan gamau lanjutkan,netral,2
2024-10-21T17:26:00Z,@pakiszur6101,arek suroboyo bu risma all in,netral,2
2024-10-21T16:53:26Z,@SafangatPangat-x4b,klw pdip gk pilih,netral,0
2024-10-21T15:13:19Z,@arrohmahchanel2762,bu risma,netral,2
2024-10-21T14:52:18Z,@FERDYGIRINDRARAHARJO,insyaallah bu khofifah mas emil umur sehat,netral,1
2024-10-21T14:08:25Z,@bydisme2748,bu luluk gubernur,positif,3
2024-10-21T13:07:06Z,@HERWINSIDHARTA,kofifa menang uang kemajuan jatim kosong pengen ngerasain dipimpin risma gk uang suka rakyat,netral,2
2024-10-21T12:52:01Z,@partinipartini7131,semangat,netral,0
2024-10-21T08:19:42Z,@supriyadiaja9181,hati hati cagub tukang serang diminati pemilih,netral,1
2024-10-21T08:04:06Z,@anakkampung4669,bu risma aja,netral,2
2024-10-21T07:51:19Z,@aryasatya9169,semoga gk kecurangan bu risma mutlak byk yg pilih tulus hati utk rakyat menang quot,netral,2
2024-10-21T05:43:23Z,@ahmadasrorifa4438,ok,netral,0
2024-10-21T04:49:12Z,@Doni-jd7ix,kota angin nganjuk ladang br setuju br gubenur jatim br br risma,netral,2
2024-10-21T02:48:45Z,@redrose2988,bu risma gubernur surabaya aja gapapa br resik bahasa jawa bahasa jatim orang madura gk paham br br luluk khofifah bersaing gasssss,netral,1
2024-10-21T01:33:01Z,@hidayahnur_.,bu risma kejujuran nya,netral,2
2024-10-21T01:31:54Z,@hidayahnur_.,bu risma hebat menghilang ndholi,netral,2
2024-10-20T23:59:13Z,@MisbahImis-yr1yc,no,netral,0
2024-10-20T23:00:59Z,@ariparip5926,bu risma pandai bicara tpi pandai ikhlas hati,negatif,2
2024-10-20T15:01:48Z,@sulamgaslor9967,bu risma gas,positif,2
2024-10-20T14:20:45Z,@JareSinten,bu risma semagat,netral,2
2024-10-20T09:33:54Z,@bembemtoys,penonton nya norak,negatif,0
2024-10-20T09:32:44Z,@bembemtoys,suaranya emang gini hp gue,netral,0
2024-10-20T09:31:13Z,@aliabarokah1087,bangkalan menangkan bu luluk,netral,3
2024-10-20T05:44:49Z,@SupriAdi-hw3bm,contoh pemimpin yg tdk menjatuhkan mendukung,netral,0
2024-10-20T05:02:27Z,@ujhedini,gaspoll bu risma,netral,2
2024-10-20T01:56:35Z,@zunanheribudiyanto9819,mantap bu risma nilai nilai kebangsaan tergerus modernisasi mohon teori tindakan nyata,netral,2
2024-10-19T23:18:39Z,@syarifzuhri955,nya baguus layak jatim br br semoga allah memilih terbaik,netral,1
2024-10-19T22:31:19Z,@AliFarid-i1t,mbak luluk jooooz,netral,3
2024-10-19T22:29:30Z,@AliFarid-i1t,luluk the,positif,3
2024-10-19T22:28:30Z,@AliFarid-i1t,luluk the best,netral,3
2024-10-19T19:27:44Z,@m.farhanramdhoni4768,no menang,netral,0
2024-10-19T18:59:00Z,@Abdurrahman1976-g9b,debat presiden wakil presiden pa prabowo bicaranya cerdas dr calon dy d pilih rakyat krna bicaranya dr hati d rekayasa dr tertarik bu risma krna bicaranya iklas tulus hati d semoga bu risma menang,netral,2
2024-10-19T18:25:59Z,@Abdurrahman1976-g9b,surabaya malang kediri madura dll tlg lupa coblos no bu risma,netral,2
2024-10-19T18:03:37Z,@muniroioi17,mak,positif,0
2024-10-19T17:28:19Z,@agusrohman4779,bu luluk cerdas energik bu luluk jatim bravo bu,netral,3
2024-11-01T02:55:21Z,@oiandreas6205,abot persaingan paslon ro,netral,0
2024-10-19T16:59:30Z,@ArmandManila,luluk smart lugas semoga terpilih bu luluk,netral,3
2024-10-19T16:51:02Z,@WafieArraziv,kualitas publik speaking bu khofifah emang ga diragukan,netral,1
2024-10-26T13:52:53Z,@budiekapawitra9006,the best bu khofifa,netral,0
2024-11-02T01:32:25Z,@ervinaindriagni9875,sayangnya lomba publik speaking adu program,netral,0
2024-10-19T16:50:09Z,@PratamaAreihan,bu khofifah kerja nyata hasilnya nyata ga janji belaja,netral,1
2024-11-01T02:41:39Z,@oiandreas6205,opo hasike lamongan bojonegoro panggah ngunu ae,netral,0
2024-10-19T16:49:38Z,@Lazuardihidayat,anak muda dukung khofifah emil,netral,1
2024-10-19T16:42:58Z,@TonoTarmudji,mesti menang periode,negatif,0
2024-10-19T16:41:23Z,@Cahyowiraone,periodee,positif,0
2024-10-19T15:41:35Z,@widodowidodo8169,keluraga sidoarjo pilih mak rusma,netral,0
2024-10-19T15:41:20Z,@NachdyahDiva,emil karo khofifah iki pasangan apik kombinasi pengalaman lan semangat muda ngubah jawa timur,netral,1
2024-11-01T02:42:12Z,@oiandreas6205,ngubah dana hibah,positif,0
2024-11-01T03:34:54Z,@FarisJumadi,ngakakkkk opone sg berubah,netral,0
2024-10-19T15:37:38Z,@nachdyahdivamaghfirah1123,kolaborasi mas emil lan bu khofifah iki nggawe jawa timur maju lan sejahtera,netral,1
2024-11-01T02:42:40Z,@oiandreas6205,maju dana hibah e,netral,0
2024-10-19T15:11:32Z,@luviandriani1670,jalanya cik jawa timur,netral,0
2024-10-19T15:07:22Z,@Lilythaliaaaa,lawong emil karo risma wes setara,netral,1
2024-10-19T15:05:06Z,@azarinedaily9528,mbak luluk semoga gubernur,netral,3
2024-10-19T15:04:50Z,@YaraFaelynn,wakilnya keliatan oke mas emil aja,netral,1
2024-10-19T14:54:39Z,@alyandwafa841,lukman,netral,0
2024-10-19T14:37:28Z,@japaelss,rung wayae risma vs khofifah seh,netral,1
2024-10-19T14:34:24Z,@tanayaSaraswati,emil karo khofifah ae,positif,1
2024-10-19T14:33:55Z,@raufrauf9791,bu risma is the best,netral,2
2024-10-19T14:32:03Z,@yusepsep8053,sya orang lampung tpi skrng dimalang cuman dri dlu emg suka liat kepemimpinanya bu risma liat semyumnya bu risma seneng senyum yg ikhlas bismilah semoga bu risma menang,netral,2
2024-10-19T14:26:13Z,@sitiqurrotuayun6420,wakile sing oke wes mas,netral,0
2024-10-19T14:22:37Z,@DikcyGuppy34,bismillahirrahmanirrahim maju bu risma butuh yg memasyarakat bkn sblm pilihan turun masyarakat tp duduk gak turun masyarakat trimakasih maju bu risma seruduk aja yg mempersulit,netral,2
2024-10-19T14:21:29Z,@ademorissapribadi176,dr sllu ngeidolain bu khofifah krn ketegasan ny sukses sllu,netral,1
2024-10-19T14:21:20Z,@tomyanggriawan7534,mbak luluk cantik sekaliii,netral,3
2024-10-19T14:19:12Z,@sitiqurrotuayun6768,mas emil wes setara karo bu risma lohh,netral,1
2024-10-19T14:17:30Z,@marwanadi7223,gk milih liane milih kang emil wae ws kinerjane,netral,1
2024-10-19T18:56:23Z,@ryanastronout699,milenial job center ae gak arahe,netral,0
2024-10-19T14:15:37Z,@sitimarifah4005,mas emil wes setara karo bu risma bagosss,netral,1
2024-10-19T14:15:11Z,@NyedotBolo,mosok arek quot isih meragukan kang emil,netral,1
2024-10-19T18:59:00Z,@ryanastronout699,ragu janjine kate ubah jatim dadi sekelas belanda eh downgrade setara vrindavan,netral,0
2024-10-19T14:12:28Z,@ngaritbolo-f9t,bu risma cocok memimpin kota surabaya bu risma,netral,2
2024-10-19T14:10:39Z,@ririnfebriati7499,perasaan wakil seng cocok mas emil tok semangat mas,netral,1
2024-10-26T13:52:34Z,@budiekapawitra9006,amiiin doakan emil khofifah jatim is back,netral,1
2024-11-01T03:03:34Z,@oiandreas6205,wakil iku ban serep cak gk due kuasa,netral,0
2024-10-19T14:09:56Z,@BangkakSpt,bissmillah semoga pemimpin kota surabaya membawa perubahan kota surabaya,netral,0
2024-10-19T14:07:47Z,@muqimlaila,semangat bu risma jadikan kota surabaya,netral,2
2024-10-19T14:05:47Z,@ngaritbolo-f9t,coblos nomor memimpin kota surabaya maju,netral,0
2024-11-01T03:09:35Z,@oiandreas6205,nggedabrus dana hibah yak opo rek,netral,0
2024-10-19T12:53:21Z,@FitriSunarti-x9d,sidoarjo insaallah merisma sidoarjo memilih mata hati,netral,1
2024-10-19T12:48:37Z,@JamroniRoni-yn3ql,jawatengah brebes bu risma milih,netral,2
2024-10-19T12:41:11Z,@kazeman3282,burisma nasionalis gk kptngan klompoksaja,netral,2
2024-10-19T12:28:50Z,@akbarbermain9472,prabs pakai turban,netral,0
2024-10-19T12:28:19Z,@akbarbermain9472,hoaamm membosankan,negatif,0
2024-10-19T11:52:21Z,@hiskiasimanjuntak133,hati hati survei mengunggulkan kofifah survei kdg utk menggiring opini hasil real dilapangan kawal,netral,0
2024-10-19T11:15:25Z,@Marsidi-x9s,ponorogo insyal allah bu risma,netral,2
2024-10-19T10:54:21Z,@rezapahlevisyaiful5404,ga tau emil sreg mentri ya soalny klo wagub kewenangny terbatas emil mentri periode berikutny menyalonkan gubernur jos gandos gasss,netral,1
2024-11-01T02:44:50Z,@oiandreas6205,kon ta presiden e kocak,netral,0
2024-10-19T10:20:52Z,@mujimadiun8150,bu risma pilahan sy,positif,2
2024-10-19T10:19:35Z,@mujimadiun8150,bu risma pilahan warga jawa timur risma penuh ketulusan,netral,2
2024-10-19T09:57:38Z,@7_zarifanurinnisa418,arek sby pilih bu risma,netral,2
2024-10-19T09:36:32Z,@dryx148,gus hans very good,netral,2
2024-10-19T09:33:37Z,@dafamovic3493,bu risma,netral,2
2024-10-19T09:14:29Z,@zainalarifin-yb7ib,bu luluk keren sih,netral,3
2024-10-19T09:05:47Z,@cellynkharizma3187,lumajang bu risma,netral,2
2024-10-19T08:42:31Z,@ZannNabrahman,bu rismaa,netral,2
2024-10-19T08:27:22Z,@firliarfianchannel,bu risma tok kerja nyata,netral,2
2024-10-19T08:18:19Z,@FerdinalDarmadandi-ru8hj,orang jakarta numpang nonton berharap ya memilih berharap aja semoga bu risma terpilih gubernur,netral,1
2024-10-19T08:09:29Z,@kusmaskus1096,risma pokok e,positif,2
2024-10-19T07:55:41Z,@AhmadSaid-f7g,luluk cerdas banget peduli,netral,3
2024-10-19T07:23:39Z,@mamansulaiman7742,bu risma,netral,2
2024-10-19T07:12:42Z,@anjaresturestu1333,pilihlah pemimpin yg pinter kerja yg pinter ngomong,netral,0
2024-10-19T07:08:01Z,@ArthaIlmanK,ayo bu risma br beruntung coz pas pindah k surabaya bu risma yg mimpin ayolah pengen risma mimpin jawa timur merasakan yg ceritakan suami a better nya bu risma terbaik kerja nyata br bismillah bu risma,netral,2
2024-10-19T07:04:11Z,@jasonricardo7640,bu risma tetep nomer,netral,2
2024-10-19T06:56:47Z,@SamperSamper-ui9ih,pilih bu,netral,0
2024-10-19T06:41:20Z,@jokerman-p6c,bu risma kinerjanya ikhlas dibuktikan surabaya,netral,2
2024-10-19T06:34:58Z,@jasonricardo7640,no kl ngomong muluk ga ketua ga wakil aj ga terealisasi,netral,0
2024-10-19T06:33:12Z,@suwartonamaku5804,prestasi kopipah to tersandra kpk,netral,0
2024-10-19T06:29:19Z,@Edymarepo,ngeri wee paslon kegemukan partai pendukungnya,netral,0
2024-10-19T06:01:48Z,@achmadn.7255,gassssss bu risma budalno ta gak iki bosssssssss like sek ta,netral,2
2024-10-19T05:50:18Z,@antokwahyudi7297,risma pilihan orang jatim br kofifah kesandung kpk br luluk cocok staf nya risma,netral,2
2024-10-19T05:38:26Z,@aaaaaaaaaaaaargh,a https amp ide no oke fokusin kabupaten tonjolin keunikan but gede banget makan anggaran manajemen lengkap kontrol riset sampe implementasi br br no infrastruktur okelah but target marketnya sih banyakin wisata konsentrasikan aja biar maksimal br br no banget mayoritas oke peminatnya gak adil aja br br kalo pilih pake ide no but kabupaten prioritasin kabupaten potensi wisata dunia kabupaten minimal alasannya biar persiapan mateng riset sampe implementasi targetnya orang provinsi negara jadiin kayak bali dijadiin destinasi,positif,0
2024-10-19T05:40:55Z,@aaaaaaaaaaaaargh,kalo pertahun anggaran dioptimalkan menjabat kabupaten harapnya sih diterusin gub potensi pake br br br sumber ngarang,netral,0
2024-10-19T05:16:49Z,@Bang_ijol,kopi pahit minggirrrr,positif,0
2024-10-19T05:04:45Z,@boomvanz1300,bu risma kerjanya nyata,netral,2
2024-10-19T04:56:06Z,@aaaaaaaaaaaaargh,a https amp kalo setuju ketiga calon penyakit orang sakit sederhana aja cerdaskan rakyat pengetahuan gaya hidup sehat sosialisasi rutin pola hidup olahraga atur makanan rakyat sehat penyakit gak intinya rakyat cerdas penyakit br br nggak senang rakyat sehat kehilangan keuntungan rakyat br br sumber ngarang,netral,0
2024-10-19T14:30:23Z,@7_zarifanurinnisa418,teorinya gampang ga org mempraktekkan gaya hidup ditinjau masyarakat krg menerapkan hidup sehat,netral,0
2024-10-19T04:50:43Z,@andienaelsafira3887,calon calonnya keren semuaa cagub cawagub ikhlass yg terpilih keknya tenang dengerin debat cagub debat pilpres,netral,0
2024-10-19T04:20:25Z,@wachidmujizat6572,nya yg menang bu risma pendukung nu sdh dipecah pkb,netral,2
2024-10-19T04:16:53Z,@ekoadi4325,bu,netral,0
2024-10-19T04:13:01Z,@ArifSetyadi-q9t,buu risma kerja nyata turun dilapangan kenyataan cp yg yg nutup doly komplek terbesar diasia resik quot,netral,2
2024-10-19T04:06:33Z,@BianBenn-yo6iw,bu luluk cerdas teanng dukung dr sidoarjo,netral,3
2024-10-19T04:06:10Z,@wachidmujizat6572,bagus srikandi jawa timur,netral,2
2024-10-19T04:04:20Z,@bennyhantv9367,bu liluk cerdas vote dr surabaya,netral,0
2024-10-19T03:19:14Z,@arexxxx_,sebenernya suka kinerja bu risma udah cape main gus gus an dongkrak suara udah smuanya melek emang ga kompeten ga gus gus an gandeng azrul ananda mumpuni sebenernya,netral,2
2024-10-19T18:55:43Z,@ryanastronout699,aja khofifah nu muslimat muak pengurus nu gak berpolitik,netral,1
2024-10-19T03:16:12Z,@NanangLestari-k6y,banyuwangi buk risma,netral,2
2024-10-19T03:14:32Z,@agungsatchild8352,gara quot khofifah and the gank kuping orang jatim terancam budek masal,netral,1
2024-10-19T03:13:01Z,@ResmiNote8-ly6mt,pilih bu risma,netral,2
2024-10-19T03:12:43Z,@arisandiarisandi6841,khofifah bagus br bu risma cepat,netral,1
2024-10-19T03:12:03Z,@diyanidenisetiawan,aremania dukung mak risma jatim,netral,2
2024-10-19T03:09:58Z,@melaniayuwana7613,bu,netral,0
2024-10-19T03:09:45Z,@BenyWidodo-ru2yp,bu risma menyalaa br khofifah jabatan bumd,netral,1
2024-10-19T03:08:13Z,@ddfamily18,bu risma warga hawa timur hebat sehat umur bu,netral,2
2024-10-19T03:05:20Z,@Haru-wr8do,srrl,positif,0
2024-10-19T03:03:50Z,@noviesafitrii,menyala mak e arek,netral,0
2024-10-19T03:00:04Z,@kedaingaji7987,bu risma keren ketegasan beliau menentukan kemajuan jawa timur,netral,2
2024-10-19T02:45:00Z,@rarawas_,pembahasan progresif transportasi miris akses ekonomi akses pendidikan angkot malang mati,netral,0
2024-10-19T02:39:46Z,@iamrondy6309,njir paslon no tau dr,netral,0
2024-10-19T02:38:38Z,@nobichannel8667,mengurangi hormat paslon sya milih paslon no paslon milih paslon,netral,0
2024-10-19T02:34:39Z,@MaulanaIqbal-r7t,nya ngawor paslon no,netral,0
2024-10-19T02:34:34Z,@kurniatun6332,preeeeet banya pengaguranau uwang sndiri,netral,0
2024-10-19T02:33:20Z,@MaulanaIqbal-r7t,e ngawor bu risma,netral,2
2024-10-19T02:13:40Z,@rex7755,khofifah kayak prabowo suka bawa quot nama,netral,1
2024-10-19T02:10:48Z,@AbdulMunib-xt5kp,kayak prabowo br kroyok debat ujung ujungnya nomer menang,netral,0
2024-10-19T02:08:02Z,@arsmnhaliuw3280,buk khofifah the,netral,1
2024-11-01T03:10:46Z,@oiandreas6205,dana hibah yak opo kbare rek,positif,0
2024-10-19T02:07:53Z,@aqillafamilychannel876,kalo kerja ikhlas bu risma tp yg gak suka,netral,2
2024-10-19T01:59:32Z,@RachmadPerdanaSaputra,surabaya bu risma br bismillah,netral,2
2024-10-19T01:55:46Z,@ihyakulumudin6963,banyuwangi menangkan mbak luluk,netral,3
2024-10-19T01:55:28Z,@gitaagustria8574,bu risma wae resik jawa timur,netral,2
2024-10-19T01:53:37Z,@ningainiulibad,jawa timur butuh bu risma gus,netral,2
2024-10-19T01:51:57Z,@AbilPranata-zd5rm,bu risma,netral,2
2024-10-19T01:51:24Z,@bagadwi6152,umkm tok bos emil industrial produk indonesia yg setara merek samsung lg panasonic dll br br jwban,netral,1
2024-10-19T18:57:57Z,@ryanastronout699,advan urusan pusat gak support,netral,0
2024-10-19T01:46:58Z,@kepo-kz3bs,bu risma bismilah,netral,2
2024-10-19T01:46:45Z,@leochavez40,bu khofifah best lanjutkan,positif,1
2024-10-19T01:42:40Z,@EkoYulianto-bo8zy,wes bosen khofifah wayahe bu risma,netral,1
2024-10-19T01:39:08Z,@achnadmuwafiq1088,bu khofifah emil relevan bukti nyata quot nya,netral,1
2024-10-19T01:36:25Z,@HajiJaya-x9r,keren calon next presiden,netral,0
2024-10-19T01:35:19Z,@rakyatvlog89,risma,netral,2
2024-10-19T01:34:56Z,@rakyatvlog89,madura risma,netral,2
2024-10-19T01:32:14Z,@rakyatvlog89,madura risma,netral,2
2024-10-19T01:32:00Z,@ramaiyanto2335,cawagub nya cerdas,netral,0
2024-10-19T01:31:48Z,@rakyatvlog89,jawatimur semoga risma terpilih,netral,2
2024-10-19T01:31:45Z,@nimasayuwijayanti2779,bu risma,netral,2
2024-10-19T01:22:46Z,@siregarhariman2064,periksa kpk ayo,positif,0
2024-10-19T01:19:50Z,@achmadseptian4181,oke gas,positif,0
2024-10-19T01:18:54Z,@arifulhakimtv,buk khofifah,netral,1
2024-10-19T01:17:17Z,@chochoasen1476,bu khof,netral,0
